driver,custid,location,club_name,starts,wins,avg_start_pos,avg_finish_pos,avg_points,top25pcnt,laps,lapslead,avg_inc,class,irating,ttrating,tot_clubpoints,champpoints
Aaron Vazquezz,598355,ES,N/A,107,62,3,2,212,96,1178,558,4.52,P 2.55,11211,1300,1666,22706
Gustavo Ariel,114405,BR,N/A,13,5,6,6,228,11,370,48,4.46,P 4.18,10931,1350,87,2968
Yohann Harth,269106,FR,N/A,16,8,6,2,187,16,266,135,3.25,A 4.22,10488,1350,208,2988
Sota Muto,165169,JP,N/A,4,0,12,11,309,1,142,0,6,A 4.30,10479,1350,0,1235
Alxander Spetz,548968,SE,N/A,6,3,7,9,190,3,51,23,9.67,A 1.08,10413,1350,0,1141
Gianni Lutzu,438236,AU,N/A,36,34,1,1,141,35,300,287,0.36,A 4.99,10349,1350,24,5084
Dominik Hofmann,334578,AT,N/A,11,2,14,6,123,8,154,16,7.73,B 2.40,10303,1350,144,1356
Parker White,410511,US,N/A,1,1,1,1,102,1,8,8,0,A 4.99,10241,1350,0,102
Owen Caryl,559940,GB,N/A,2,2,2,1,176,2,30,30,9,A 2.07,10233,1350,41,352
Alejandro SÃ¡nchez,219108,ES,N/A,25,12,4,3,267,22,340,213,4.52,A 2.49,10232,1350,466,6678
Patrik Holzmann,137413,DE,N/A,1,0,11,21,40,0,9,0,18,A 3.40,10224,1350,0,40
Diogo C. Pinto,352055,PT,N/A,6,2,4,4,356,5,193,45,4.67,P 4.16,10215,1350,24,2133
Luca Kita,486209,DE,N/A,5,0,12,12,161,1,39,0,10.2,A 2.03,10181,1350,41,807
Damon Woods,584391,AU,N/A,56,25,4,3,169,46,643,254,3.23,P 2.45,10108,1318,521,9447
Adam Miles,28523,GB,N/A,275,188,2,2,159,252,3579,2368,3.57,B 4.99,10075,1307,3466,43846
Phil Denes,138679,US,N/A,2,2,1,1,156,2,23,23,2,A 4.99,10073,1350,25,311
Cam Ebben,160282,US,N/A,98,75,2,2,143,87,807,388,1.44,A 3.86,10050,1350,219,14012
Nicolas Mateo,424000,ES,N/A,23,9,3,5,163,17,238,88,9.09,B 2.15,10020,1350,333,3738
